city,city_district,price,type,area,building_type,penb,equipment,floor,balcony,terace,lift,garage,lat,lon,demand,group,individual,family,men,women,students,working,pensioners,cellar,parking,pets,smoking,state
Brno,Staré Brno,10000,1+kk,40,1,B,3,6,False,False,False,False,49.186895,16.5866808,Rent,0,0,1,0,0,0,1,0,0,0,0,0,1
Brno,Slatina,11500,1+kk,46,1,B,2,1,True,False,True,False,49.171665,16.686296,Rent,0,1,0,0,0,1,0,0,0,0,1,0,1
Brno,Staré Brno,10000,Garsoniéra,30,1,D,0,3,False,False,False,False,49.192368,16.603573,Rent,0,0,1,0,1,0,1,0,0,1,0,1,0
Brno,Zábrdovice,9375,1+kk,24,0,,3,4,False,False,True,False,49.2000707,16.6257772,Rent,1,0,1,1,1,0,1,0,1,1,1,0,0
Brno,Maloměřice,10000,2+kk,47,1,C,2,1,False,False,False,False,49.217689,16.643212,Rent,1,1,1,1,1,1,1,1,1,0,1,1,1
Brno,Kohoutovice,12900,2+1,56,2,,3,4,True,False,False,False,49.2005894,16.5338853,Rent,0,1,0,1,1,1,1,0,1,0,0,0,1
Brno,Žabovřesky,13000,2+kk,40,1,B,3,2,True,False,False,False,49.216337,16.570846,Rent,0,0,0,0,0,1,1,1,1,1,0,1,1
Brno,Černá Pole,17500,2+kk,59,1,G,3,2,False,False,True,False,49.204847,16.622033,Rent,0,1,1,0,1,0,0,0,1,0,1,1,1
Brno,Bystrc,13000,2+kk,61,1,G,2,4,True,False,True,False,49.215545,16.496552,Rent,1,0,1,0,1,1,0,0,0,0,0,0,1
Brno,Veveří,14000,3+1,85,1,C,2,3,True,False,True,False,49.2057346,16.5991522,Rent,1,0,1,0,0,0,0,1,1,0,0,1,2
Brno,Žabovřesky,9000,Garsoniéra,30,2,,2,6,False,False,False,False,49.2205689,16.5721603,Rent,1,1,1,0,0,0,1,0,1,1,0,1,0
Brno,Trnitá,10000,1+kk,22,0,B,0,5,False,True,True,False,49.184512,16.623095,Rent,0,1,1,0,1,0,1,1,0,1,0,1,1
Brno,Staré Brno,14000,2+kk,50,1,G,1,1,True,False,True,False,49.18776,16.595186,Rent,1,1,0,0,0,1,1,1,1,0,1,0,1
Brno,Zábrdovice,6500,1+1,28,1,,2,0,False,False,False,False,49.2062416,16.6254195,Rent,0,0,0,1,1,0,0,1,0,1,0,0,0
Brno,Židenice,13000,2+kk,40,2,G,1,1,False,False,True,False,49.202382,16.662515,Rent,0,0,1,0,1,1,0,0,0,0,0,0,1
Brno,Město Brno,9000,2+kk,40,1,C,3,2,False,True,False,False,49.198531,16.61041,Rent,0,0,0,1,0,0,1,0,0,0,1,0,1
Brno,Bohunice,11000,2+kk,47,2,E,2,2,False,False,True,False,49.170751,16.573376,Rent,1,1,1,0,0,1,0,1,0,1,0,0,2
Brno,Staré Brno,11985,1+kk,35,0,,3,6,True,False,True,False,49.186895,16.5866808,Rent,1,1,1,1,1,0,0,1,1,0,0,1,1
Brno,Štýřice,13000,2+1,50,1,A,0,1,True,False,False,False,49.182259,16.595089,Rent,0,0,0,1,1,0,0,1,0,0,0,1,0
Brno,Město Brno,15000,3+1,95,1,,2,4,False,False,False,False,49.1950602,16.6068371,Rent,0,0,1,0,1,0,1,1,1,1,1,0,1
Brno,Jundrov,11000,2+1,56,2,A,3,7,True,False,True,True,49.204666,16.55533,Rent,1,0,0,1,1,0,1,1,0,0,1,0,2
Brno,Židenice,9300,1+1,34,1,G,2,4,False,False,False,False,49.196993,16.639351,Rent,1,0,1,1,1,0,1,0,0,0,0,0,0
Brno,Bystrc,11000,1+1,40,2,,2,5,False,False,False,False,49.2179961,16.504386,Rent,0,1,1,1,1,1,1,0,1,0,1,0,2
Brno,Bohunice,19000,2+kk,64,1,B,2,2,False,True,False,False,49.180957248061,16.568570048688,Rent,0,0,0,0,1,1,0,1,1,1,1,0,2
Brno,Zábrdovice,13850,2+kk,58,1,C,2,2,False,False,False,False,49.2023104,16.6227176,Rent,0,1,0,0,0,1,1,1,1,1,1,1,1
Brno,Bohunice,13000,3+1,72,2,G,2,2,True,False,True,False,49.16791,16.576652,Rent,0,1,0,0,0,1,0,0,1,0,0,0,1
Brno,Trnitá,14000,1+kk,30,1,,3,3,True,True,False,False,49.191508,16.6199139,Rent,1,1,0,0,1,1,1,0,0,1,1,1,1
Brno,Zábrdovice,8500,1+kk,33,1,G,3,4,False,False,True,False,49.202382,16.625568,Rent,1,0,1,0,1,1,0,1,1,0,0,0,1
Brno,Veveří,13000,3+kk,80,1,G,3,2,False,False,True,False,49.207891,16.6013,Rent,0,0,1,1,0,1,0,0,0,0,0,1,0
Brno,Ponava,17500,3+kk,57,3,B,2,3,False,False,False,False,49.2158388,16.6012197,Rent,1,0,1,1,1,0,1,1,0,1,0,0,0
Brno,Černovice,10000,1+1,35,1,F,3,0,False,False,False,False,49.186831,16.642081,Rent,0,0,1,1,1,0,1,1,1,0,0,0,0
Brno,Královo Pole,12000,1+1,60,1,C,0,1,False,False,False,False,49.219965,16.59561,Rent,1,0,1,1,0,1,1,0,0,1,0,1,2
Brno,Černá Pole,11000,2+1,52,1,C,3,3,False,False,True,False,49.203689,16.620684,Rent,1,0,1,0,1,1,0,0,0,1,0,1,0
Brno,Komín,12000,1+kk,45,3,A,3,1,False,True,False,False,49.222739,16.55627,Rent,1,0,1,0,1,1,1,1,0,0,0,0,2
Brno,Veveří,20818,3+kk,85,1,G,2,3,True,False,True,False,49.201533,16.605996,Rent,1,0,0,1,0,0,1,1,1,0,1,0,2
Brno,Židenice,14000,2+1,52,1,G,2,1,True,False,False,False,49.193474,16.654854,Rent,0,0,1,0,1,0,1,1,0,0,1,1,2
Brno,Královo Pole,14000,2+kk,53,1,C,3,1,True,False,False,True,49.2286554,16.6041221,Rent,1,1,1,0,0,0,0,0,1,1,0,1,2
Brno,Královo Pole,19500,2+kk,58,0,,3,2,True,False,True,True,49.2212691,16.5852463,Rent,0,1,1,1,1,0,1,0,0,0,1,0,2
Brno,Štýřice,18750,1+kk,0,0,,3,6,False,False,True,True,49.1834133,16.5953083,Rent,0,1,0,1,0,1,0,0,0,1,1,0,0
Brno,Horní Heršpice,12285,1+kk,41,0,,3,2,True,True,False,False,49.1651278,16.611152,Rent,0,1,1,1,1,1,1,1,0,1,1,0,0
Brno,Líšeň,9263,1+kk,30,0,,3,3,True,False,True,False,49.1982928,16.6665336,Rent,0,1,1,0,0,0,1,1,0,1,1,1,2
