,nazev,kategorie,adresa,lat,lon
186,Kino Art,kino,Cihlářská 19,49.20430220000001,16.603462099999998
187,Fléda,kino,Štefánikova 24,48.9911486,21.239145800000003
188,Letní kino Špilberk,kino,Lení Terasa Brno - hrad Špilberk,0.0,0.0
189,Industra,kino,Masná 9,50.0893661,14.4239497
190,Kino Lucerna Brno,kino,Minská 19,52.11042585,21.592075394337016
191,Letní kino Brno na Dvoře MdB,kino,Lidická 12,50.072632500000005,14.408567499999998
192,Cinema City Velký Špalíček,kino,Mečová 2,49.1930786,16.6073627
193,Letní kino Na Riviéře,kino,Bauerova 7,48.7141513,21.2126943
194,Letní kino Brno-střed,kino,Dominikánská 2,49.1930213,16.6058765
195,Cinema City Olympia,kino,U Dálnice 777,49.1394586,16.6315115
196,Letní kino Na Dobráku,kino,Dobrovské 29,0.0,0.0
197,Sál Břetislava Bakaly,kino,Žerotínovo náměstí 6,49.1983495,16.6021802
198,Restaurace Kinokavárna,kino,Námestí SNP 33,49.0833186,19.59036359553001
199,Kino No Art,kino,Radnická 4,44.78516625,20.413874869007174
200,Stopkova Plzeňská Pivnice,vinarna,"Česká 163/5, Brno",49.1922443,16.6113382
201,Pivní burza Jánská,vinarna,"Jánská 467/16, Brno",49.194734000000004,16.611645199999998
202,Pivní burza Veveří,vinarna,"Veveří 52/21, Brno",49.200351899999994,16.6007091
203,Jedna Báseň wine & coffee bar,vinarna,"Sukova 2, Brno",49.1960825,16.6123312
204,Lloyd's,vinarna,"Štefánikova 134/64, Brno",49.2160686,16.5997496
205,Pivnice a bar Pod Studnou,vinarna,"Orlí 491/16, Brno",49.1932786,16.6113109
206,Jakoby,vinarna,"Jakubské náměstí 128/6, Brno",49.196962299999996,16.608532800000003
207,Bogota,vinarna,"Nádražní 686/9, Brno",49.1893006,16.6085662
208,Padowetz,vinarna,"Masarykova 413/34, Brno",49.191291299999996,16.6108458
209,Valoria,vinarna,"Bohunická 292/2, Brno",49.163283,16.604578
210,Klub cestovatelů Brno,vinarna,"Veleslavínova 183/14, Brno",49.2206412,16.5972812
211,Siesta Lobby and Wine restaurant,vinarna,"Husova 200/16, Brno",49.1949802,16.6054832
212,Retro Consistorium,vinarna,"Mečová 4, Brno",49.1930162,16.6077478
213,Pivnice U Čápa,vinarna,"Obilní trh 68/10, Brno",49.1995896,16.5981383
214,Restaurace Stavba,vinarna,"Grohova 2, Brno",49.2012246,16.5991113
215,U Bílého beránka,vinarna,"Štefánikova 85/16, Brno",49.209096100000004,16.6038115
216,Esport bar 21,vinarna,"Jánská 21, Brno",49.19485529999999,16.611307999999998
