id,date,city,city_district,price,type,area,ownership,building_type,penb,equipment,floor,balcony,terace,lift,garage
318307,2020-11-19 15:35:28.610583 UTC,Praha,Kyje,10900,Garsoniéra,34,1,1,B,2,4,TRUE,FALSE,FALSE,FALSE
630525,2020-11-19 15:54:00.450696 UTC,Karlovy Vary,Drahovice,11000,2+kk,54,1,1,A,0,1,FALSE,FALSE,FALSE,FALSE
601909,2020-11-19 15:56:53.326273 UTC,Praha,Žižkov,21000,2+1,72,1,1,C,3,1,FALSE,FALSE,TRUE,FALSE
633337,2020-11-19 15:42:23.052333 UTC,Třebívlice,,19000,4+1,188,1,1,F,1,1,FALSE,FALSE,FALSE,FALSE
463410,2020-11-19 15:25:16.617003 UTC,Praha,Prosek,9000,2+kk,40,2,2,,2,6,FALSE,FALSE,FALSE,FALSE
634089,2020-11-19 15:40:37.336772 UTC,Praha,Liboc,19000,3+1,76,1,2,C,3,1,FALSE,FALSE,TRUE,FALSE
617831,2020-11-19 15:04:42.202262 UTC,Brandýs nad Labem-Stará Boleslav,Brandýs nad Labem,11900,2+kk,46,1,0,D,2,1,FALSE,FALSE,FALSE,FALSE
633007,2020-11-19 15:13:48.939713 UTC,Praha,Hlubočepy,22500,3+kk,82,1,1,B,3,2,FALSE,FALSE,TRUE,TRUE
635104,2020-11-19 15:28:00.133465 UTC,Praha,Michle,11000,2+kk,47,1,1,C,2,1,FALSE,FALSE,FALSE,FALSE
638774,2020-11-19 14:57:47.619821 UTC,Praha,Vinohrady,19875,2+kk,48,0,0,,3,2,FALSE,FALSE,FALSE,FALSE
193718,2020-11-19 16:02:51.748516 UTC,Praha,Libeň,10000,1+1,32,1,1,,2,2,FALSE,FALSE,FALSE,FALSE
622506,2020-11-19 15:29:46.854562 UTC,Praha,Komořany,19000,2+kk,65,1,1,B,0,0,FALSE,TRUE,TRUE,FALSE
