X,Y,název,počet_zaměstnanců,odvětví,address,latitude,longitude
16.685487691902303,49.205970009036896,"Akademia Gymnázium, Základní Škola a", 25 - 49, Vzdělávání,Rašelinová 2433/11,49.20597001,16.68548769
16.5817533420799,49.2250797009525,"Akademické Nakladatelství CERM, s.r.o.", 6 - 9, Informační a komunikační činnosti,Purkyňova 2735/95a,49.2250797,16.58175334
16.630076690144698,49.1900031961744,Akademie Alfadeck z.ú., 10 - 19, Zdravotní a sociální péče,Klíčova 1261/2d,49.1900032,16.63007669
16.5510873951225,49.208703263777295,"Akademie STING, o.p.s.", 25 - 49, Vzdělávání,Stromovka 114/1,49.20870326,16.5510874
16.6430626047379,49.2013422349973,"Akar Group s.r.o., Odštěpný Závod", 6 - 9, Stavebnictví,Gajdošova 4454/10,49.20134224,16.64306261
16.6104428364106,49.1943315267544,"Akát Plus, s.r.o.", 6 - 9, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Jánská 449/12,49.19433153,16.61044284
16.602293614800402,49.171543269901896,"AKB Czech, s.r.o.", 10 - 19, Stavebnictví,Heršpická 758/13,49.17154327,16.60229362
16.5937047621818,49.182735458113,"AKI, s.r.o.", 50 - 99, Zdravotní a sociální péče,Vinohrady 476/8,49.18273546,16.59370476
16.582218705329698,49.2057781059688,"Akimed, s.r.o.", 6 - 9, Zdravotní a sociální péče,Březinova 1452/30,49.20577811,16.58221871
16.5840476357223,49.214606345029104,"AKL Zálešák, s.r.o.", 6 - 9," Profesní, vědecké a technické činnosti",Korejská 2071/27,49.21460635,16.58404764
16.636395639279197,49.1880050761255,"AKP, s.r.o.", 10 - 19, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Štolcova 569/31,49.18800508,16.63639564
16.5808093717181,49.2322100600383,"Aku Energy, s.r.o.", 10 - 19, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Hudcova 532/78b,49.23221006,16.58080937
16.601993255898698,49.1435430128671,"Akuna CZ, s.r.o.", 10 - 19, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Vídeňská 186/118,49.14354301,16.60199326
16.6266165557401,49.2017265872328,"AKUSTING, s.r.o.", 10 - 19, Stavebnictví,Cejl 29/76,49.20172659,16.62661656
16.6643783705853,49.147332939238005,"Alba precision, s.r.o.", 6 - 9, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Šípková 452/18,49.14733294,16.66437837
16.5877208379359,49.2544584388986,"Albellus, s.r.o.", 10 - 19," Ubytování, stravování a pohostinství",Maříkova 1899/1,49.25445844,16.58772084
16.612064398804602,49.200293826201204,"Albion Moravia, s.r.o.", 6 - 9, Administrativní a podpůrné činnosti,Milady Horákové 324/14,49.20029383,16.6120644
16.5964983673069,49.2205318897846,"ALDENTA, s.r.o.", 10 - 19, Zdravotní a sociální péče,Palackého třída 659/11,49.22053189,16.59649837
