,MČ,Ulice,LAT,LNG,Typ
4246,BRNO-SLATINA,Mikulčická 14,49.1801133028,16.690109443208,PAP
4247,BRNO-SLATINA,Mikulčická 16,49.180231626182,16.691001230177,PAP
4248,BRNO-SLATINA,Mikulčická 16,49.180231626182,16.691001230177,PLA
4249,BRNO-SLATINA,Mikulčická 2,49.179226917359,16.689554612033,SBA
4250,BRNO-SLATINA,Mikulčická 2,49.179226917359,16.689554612033,SBI
4251,BRNO-SLATINA,Mikulčická 2,49.179226917359,16.689554612033,SBI
4252,BRNO-SLATINA,Mikulčická 2,49.179226917359,16.689554612033,PLA
4253,BRNO-SLATINA,Mikulčická 2,49.179226917359,16.689554612033,PAP
4254,BRNO-SLATINA,Mikulčická 2,49.179226917359,16.689554612033,PLA
4255,BRNO-SLATINA,Mikulčická 2,49.179226917359,16.689554612033,PAP
4256,BRNO-SLATINA,Mikulčická 5,49.178653146365,16.686292581135,PAP
4257,BRNO-SLATINA,Mikulčická 5,49.178653146365,16.686292581135,PLA
4258,BRNO-SLATINA,Moutnická 2,49.172360537434,16.686511986844,PAP
4259,BRNO-SLATINA,Moutnická 4,49.172176503777,16.686821356524,PLA
4260,BRNO-SLATINA,Moutnická 6,49.171979614529,16.687156961334,PAP
4261,BRNO-SLATINA,Moutnická 8,49.171796658792,16.687433390696,PLA
4262,SLATINA,Ostravská - Černovičky,49.185412610575,16.666417346973,SBA
4263,SLATINA,Ostravská - Černovičky,49.185412610575,16.666417346973,SBI
4264,BRNO-SLATINA,Podstránská 9,49.186948795146,16.666657638768,SBA
4265,BRNO-SLATINA,Podstránská 9,49.186948795146,16.666657638768,SBI
4266,BRNO-SLATINA,Podstránská 9,49.186948795146,16.666657638768,PLA
4267,BRNO-SLATINA,Podstránská 9,49.186948795146,16.666657638768,PLA
4268,BRNO-SLATINA,Podstránská 9,49.186948795146,16.666657638768,PAP
4269,BRNO-SLATINA,Ponětovická 2,49.172525873871,16.684950862767,PAP
4270,BRNO-SLATINA,Ponětovická 2,49.172525873871,16.684950862767,PLA
4271,BRNO-SLATINA,Ponětovická 8,49.173061828119,16.684115013788,PAP
4272,BRNO-SLATINA,Ponětovická 8,49.173061828119,16.684115013788,PLA
4273,BRNO-SLATINA,Prostějovská 1,49.181664692875,16.688352992621,PAP
4274,BRNO-SLATINA,Prostějovská 1,49.181664692875,16.688352992621,PLA
4275,BRNO-SLATINA,Prostějovská 11,49.18114574799,16.689850088366,SBA
4276,BRNO-SLATINA,Prostějovská 11,49.18114574799,16.689850088366,SBI
4277,BRNO-SLATINA,Prostějovská 11,49.18114574799,16.689850088366,PLA
4278,BRNO-SLATINA,Prostějovská 11,49.18114574799,16.689850088366,PAP
4279,BRNO-SLATINA,Přemyslovo nám. 26,49.177607644684,16.684077385165,PLA
4280,BRNO-SLATINA,Přemyslovo nám. 26,49.177607644684,16.684077385165,PAP
4281,BRNO-SLATINA,Rousínovská 1,49.181492000969,16.686042445162002,SBA
4282,BRNO-SLATINA,Rousínovská 1,49.181492000969,16.686042445162002,SBI
4283,BRNO-SLATINA,Rousínovská 1,49.181492000969,16.686042445162002,PLA
4284,BRNO-SLATINA,Rousínovská 1,49.181492000969,16.686042445162002,PAP
4285,BRNO-SLATINA,Rousínovská 13,49.181119308869,16.687669471984,PAP
4286,BRNO-SLATINA,Rousínovská 13,49.181119308869,16.687669471984,PLA
4287,BRNO-SLATINA,Rousínovská 19,49.180489734001,16.68842757921,SBA
4288,BRNO-SLATINA,Rousínovská 19,49.180489734001,16.68842757921,SBI
4289,BRNO-SLATINA,Rousínovská 19,49.180489734001,16.68842757921,PAP
4290,BRNO-SLATINA,Rousínovská 19,49.180489734001,16.68842757921,PLA
4291,BRNO-SLATINA,Rousínovská 29,49.180698297442,16.689531679965,PAP
4292,BRNO-SLATINA,Rousínovská 29,49.180698297442,16.689531679965,PLA
4293,BRNO-SLATINA,Rousínovská 7,49.181284454279,16.68680094659,PAP
4294,BRNO-SLATINA,Rousínovská 7,49.181284454279,16.68680094659,PLA
4295,BRNO-SLATINA,Ráj x Tuřanka,49.174970546787,16.685704216896998,SBA
4296,BRNO-SLATINA,Ráj x Tuřanka,49.174970546787,16.685704216896998,SBI
4297,BRNO-SLATINA,Ráj x Tuřanka,49.174970546787,16.685704216896998,PLA
4298,BRNO-SLATINA,Ráj x Tuřanka,49.174970546787,16.685704216896998,PAP
4299,BRNO-SLATINA,Ráj x Tuřanka,49.174970546787,16.685704216896998,PLA
4300,BRNO-SLATINA,Slatinka 24,49.164327353088,16.688266100114,SBA
4301,BRNO-SLATINA,Slatinka 24,49.164327353088,16.688266100114,SBI
4302,BRNO-SLATINA,Slatinka 24,49.164327353088,16.688266100114,PAP
4303,BRNO-SLATINA,Slatinka 24,49.164327353088,16.688266100114,PLA
4304,SLATINA,Strážnická 13,49.179393830472,16.683557356817,SBA
4305,SLATINA,Strážnická 13,49.179393830472,16.683557356817,SBI
4306,BRNO-SLATINA,Strážnická 14,49.179412480357,16.68347917641,PLA
4307,BRNO-SLATINA,Strážnická 14,49.179412480357,16.68347917641,PAP
4308,BRNO-SLATINA,Strážnická 14,49.179412480357,16.68347917641,PLA
4309,BRNO-SLATINA,Strážnická 2,49.180066474688,16.682330787255,PAP
4310,BRNO-SLATINA,Strážnická 2,49.180066474688,16.682330787255,PLA
4311,BRNO-SLATINA,Strážnická 2,49.180066474688,16.682330787255,PAP
4312,BRNO-SLATINA,Strážnická 2,49.180066474688,16.682330787255,PLA
4313,BRNO-SLATINA,Tilhonova x Vlárská,49.18237634581,16.675190557729,SBA
4314,BRNO-SLATINA,Tilhonova x Vlárská,49.18237634581,16.675190557729,SBI
4315,BRNO-SLATINA,Tilhonova x Vlárská,49.18237634581,16.675190557729,PAP
4316,BRNO-SLATINA,Tilhonova x Vlárská,49.18237634581,16.675190557729,PAP
