objectid,X,Y,name,place_address
145,16.614646200050302,49.196337600201204,Veronika Vlková: Tiše poslouchej,"Malinovského nám. 2, Brno-město, Brno, Česko"
146,16.6080987455587,49.1950392155807,Podzimní slavnosti dobrého jídla,"nám. Svobody 19, 602 00 Brno-střed, Česko"
147,16.6036449001767,49.2042786002359,Palm Springs,Cihlářská 643/19
148,16.5853774998723,49.2104450000619,3Bobule,"Minská 19, Brno, Česko"
149,16.6110186996268,49.1963003002742,RESTART &#8211; Zahajovací průvod JAMU,"Mozartova 1, Brno"
150,16.622583400388802,49.1996800997494,Dialogy nového příběhu: Vlado Lobotka &#8211; Myslet změnu,"Bratislavská 68, Zábrdovice, Brno, Česko"
151,16.6175242719649,49.198936602833,Vegan fest,"Bratislavská 26, 602 00"
152,16.6094269999277,49.192119700187504,ARNOLD SCHOENBERG CHOR,"Zelný trh 313/4, Brno-město, Brno, Česko"
153,16.5930574999685,49.2274928997419,Mandarinková izba,"Palackého tř. 832, Brno-Brno-Královo Pole, Česko"
154,16.608123000071398,49.1950509997518,Brněnský varhanní festival: Narozeninový koncert,
155,16.6125059998185,49.195622700094006,Hm / Solárium,"Sukova 4, Brno-město, Brno, Česko"
156,16.608123000071398,49.1950509997518,Den architektury Brno,
157,16.60883810036,49.193116099747,Tematické prohlídky: Po stopách Ernsta Wiesnera,"Radnická 8, Brno-Brno-střed, Česko"
158,16.6175242719649,49.198936602833,Info meet-up,Bratislavská 26/210 Brno
159,16.6036449001767,49.2042786002359,Helmut Newton: Nestoudná krása,Cihlářská 643/19
160,16.6036449001767,49.2042786002359,Ronnie Wood: Někdo tam nahoře mě má rád,Cihlářská 643/19
161,16.6094269999277,49.192119700187504,ZÁPISNÍK ZMIZELÉHO &#038; KLAVÍRNÍ RECITÁL JANA JIRASKÉHO,"Zelný trh 313/4, Brno-město, Brno, Česko"
162,16.6146402855425,49.18778381238871,Barma / Myanmar: Pekelný ráj (Brno),"Ve Vaňkovce 1, 602 00 Brno"
163,16.6036449001767,49.2042786002359,Svět podle Muchy,Cihlářská 643/19
164,16.6036449001767,49.2042786002359,Léto 85,Cihlářská 643/19
165,16.6089086001435,49.197552399790105,Jeden svět Brno,"Moravské nám. 127/3, Brno-město, Brno, Česko"
166,16.6073642030323,49.198737374976595,Trhy kávy 2020 Brno,"Moravské nám. 1/1, Brno-město, 602 00 Brno-Brno-střed, Česko"
167,16.6036449001767,49.2042786002359,Climax,Cihlářská 643/19
168,16.6036449001767,49.2042786002359,Postiženi muzikou,Cihlářská 643/19
169,16.613695800446,49.1959064001515,LEOŠ JANÁČEK &#8211; PŘÍHODY LIŠKY BYSTROUŠKY,"Malinovského náměstí 1, Brno-město, Brno, Česko"
170,16.6087271000319,49.192579000283295,Meet Papír,"Zelný trh, Brno-město, Brno, Česko"
171,16.6001838997961,49.203573200004904,Minimalistický festival STAČÍ MÁLO,"Kounicova 686/22, Brno"
172,16.6023244997782,49.201568899749496,KLAVÍRNÍ RECITÁL JANA JIRASKÉHO,"Smetanova 14, Veveří, Brno, Česko"
173,16.6023244997782,49.201568899749496,KLAVÍRNÍ RECITÁL JANA JIRASKÉHO (REPRÍZA),"Smetanova 14, Veveří, Brno, Česko"
174,16.608123000071398,49.1950509997518,Mersey Gathering,
175,16.61358079992,49.206068099856395,Zemlinsky Quartet,"Drobného 297/22, Černá Pole, Brno, Česko"
176,16.5977672996295,49.208073599862296,Vinnetou,"Tučkova 922/34, Veveří, 602 00 Brno, Česko"
177,16.6934757234111,49.209186553668296,Škola kouzel Pavla Kožíška,"Dělňák, Klajdovská 28, Brno-Líšeň"
178,16.6036449001767,49.2042786002359,Autoportrét,Cihlářská 643/19
179,16.611048200300697,49.198234900215304,JEJÍ PASTORKYŇA JANÁČKOVA OPERA NdB &#038; KARITA MATTILA (PREMIÉRA),"Rooseveltova 31/7, Brno-město, 602 00 Brno, Česko"
180,16.611048200300697,49.198234900215304,Její pastorkyňa,"Rooseveltova 31/7, Brno-město, 602 00 Brno, Česko"
181,16.6036449001767,49.2042786002359,Skutok sa stal,Cihlářská 643/19
182,16.6100494776223,49.204910430085704,Jan Kratochvíla &#8211; Geošpirit,"Lužánecká 3, Brno"
183,16.6023244997782,49.201568899749496,MATINÉ JAMU V PAMÁTNÍKU L. JANÁČKA,"Smetanova 14, Veveří, Brno, Česko"
184,16.604362233677097,49.2076828417937,Tematické prohlídky: Po stopách brněnských básníků,"Pionýrská, 602 00 Brno-Brno-střed, Česko"
185,16.6094269999277,49.192119700187504,JOSEF SUK PIANO QUARTET,"Zelný trh 313/4, Brno-město, Brno, Česko"
186,16.6036449001767,49.2042786002359,Pinocchio,Cihlářská 643/19
187,16.6036449001767,49.2042786002359,Češi jsou výborní houbaři,Cihlářská 643/19
188,16.6041623998489,49.19624830011029,PRAŽSKÝ FILHARMONICKÝ SBOR,"Komenského nám. 534/8, 602 00 Brno-Brno-střed, Česko"
189,16.6033136841449,49.197529278175296,Hudební nešpory v Červeném kostele,"Červený kostel, 602 00 Brno-střed, Česko"
190,16.616065200432697,49.2071644997234,Film a architektura ve vile Tugendhat,Černopolní 45 613 00 Brno
191,16.6036449001767,49.2042786002359,Tímhle vlakem jedu,Cihlářská 643/19
192,16.60883810036,49.193116099747,Tematické prohlídky: Smrt a rozklad v Brně,"Radnická 8, Brno-Brno-střed, Česko"
193,16.6036449001767,49.2042786002359,Země je modrá jako pomeranč,Cihlářská 643/19
194,16.611048200300697,49.198234900215304,JEJÍ PASTORKYŇA JANÁČKOVA OPERA NdB &#038; KARITA MATTILA,"Rooseveltova 31/7, Brno-město, 602 00 Brno, Česko"
195,16.5930574999685,49.2274928997419,"Vím, že víš, že vím.","Palackého tř. 832, Brno-Brno-Královo Pole, Česko"
196,16.6036449001767,49.2042786002359,Lovemobil,Cihlářská 643/19
197,16.608259599690097,49.201543000172606,Monty Python´s Spamalot,"Lidická 1863/16, Černá Pole, 602 00 Brno, Česko"
198,16.5930574999685,49.2274928997419,Dva nahatý chlapi,"Palackého tř. 832, Brno-Brno-Královo Pole, Česko"
199,16.6094269999277,49.192119700187504,RECITÁL PAVOL BRESLIK A RÓBERT PECHANEC,"Zelný trh 313/4, Brno-město, Brno, Česko"
200,16.6036449001767,49.2042786002359,Za mořem,Cihlářská 643/19
201,16.6036449001767,49.2042786002359,V té vodě něco je,Cihlářská 643/19
202,16.6175242719649,49.198936602833,Mezipatra &#8211; zapoj se!,"Bratislavská 26/210, 602 00 Brno"
203,16.5930574999685,49.2274928997419,LUBOŠ POSPÍŠIL &amp; 5P – 70LET,"Palackého tř. 832, Brno-Brno-Královo Pole, Česko"
204,16.611048200300697,49.198234900215304,BOHUSLAV MARTINŮ &#8211; ŘECKÉ PAŠIJE,"Rooseveltova 31/7, Brno-město, 602 00 Brno, Česko"
205,16.6033136841449,49.197529278175296,KOSTELNÍ PÍSNĚ ZE ZNOROV,"Červený kostel, 602 00 Brno-střed, Česko"
206,16.611048200300697,49.198234900215304,Řecké pašije,"Rooseveltova 31/7, Brno-město, 602 00 Brno, Česko"
207,16.6036449001767,49.2042786002359,Země medu,Cihlářská 643/19
208,16.6243247989401,49.202289581070296,Mezinárodní komiksový festival KOMA,"Bratislavská 249/68, 602 00 Brno-střed"
209,16.6156741000091,49.187923499834994,Jiří Kovanda / O deset minut dřív,"Ve Vaňkovce, Trnitá, Brno-Brno-střed, Česko"
210,16.6156741000091,49.187923499834994,Karel Adamus / Minimální metafory,"Ve Vaňkovce, Trnitá, Brno-Brno-střed, Česko"
211,16.6156741000091,49.187923499834994,Tomáš Absolon / RAFA MATA,"Ve Vaňkovce, Trnitá, Brno-Brno-střed, Česko"
212,16.578600000311102,49.16589999976149,Milena Fucimanová: Hnízda v octu,"Lány 3, Brno"
213,16.6036449001767,49.2042786002359,Válka umění,Cihlářská 643/19
